TotalEmissions,TransportationTotalEmissions,HousingTotalEmissions,FoodTotalEmissions,GoodsTotalEmissions,ServicesTotalEmissions,CensusTract
28968925.7160128,4483605.91656063,6321533.8706765,7258850.47832538,4242694.44272975,6662241.00772058,360610064002019
26914978.2513435,3889942.91885668,6326025.95764115,6924065.25880887,3942782.78273232,5832161.33330451,360610065002019
26265109.6645099,2851269.09393107,7090208.30882924,6925887.56288657,3849622.58926095,5548122.10960212,360610197022019
37667821.1773023,7253683.88802912,7092826.98612755,9084826.06501291,5540473.5883074,8696010.64982527,360610069002019
27575184.0999543,4182267.82148306,5647316.22263637,7210211.95350401,4185562.31389583,6349825.78843501,360610070002019
30121328.1581285,4469387.4022098,7136520.10276322,7412670.72210184,4343880.48358318,6758869.44747048,360610073002019
24886295.486863,3675319.84441447,4538373.53953329,6920331.92395621,3923524.52518132,5828745.6537777,360610076002019
30244344.3035449,5018186.76060018,6704424.60691211,7308570.17284855,4345057.09395448,6868105.66922955,360610081002019
29670650.0965426,5084122.47099738,5525913.53620625,7549726.57091328,4474222.85674973,7036664.66167596,360610091002019
24388540.5293751,3400817.99351823,4973437.09146538,6534091.23542583,3748964.01880928,5731230.19015641,360610093002019
27943784.8034496,3687808.41387446,6085513.86279606,7406387.37986536,4282009.83275473,6482065.31415899,360610177002019
27313182.0764255,4261577.20032079,6171571.93740489,7233338.91879061,4024547.28426258,5622146.73564666,360610156012019
45237115.2190105,8073285.62889387,9567658.78610801,10027236.6734305,6501414.01604275,11067520.1145354,360610160012019
21863045.5132579,2199102.92136285,5575468.33181766,6233452.14889224,3322125.85037059,4532896.26081457,360610162002019
23332283.7596422,2719703.70916429,5919442.41717644,6710005.81108743,3499418.9554816,4483712.86673241,360610186002019
27946773.195284,3101891.383084,7182718.64715765,7760608.81312969,4213079.93003324,5688474.42187939,360610200002019
30386101.5347638,3846197.4754563,7644367.07161087,8046904.3116306,4533986.18898888,6314646.48707718,360610201022019
22825475.5933366,3338877.45210506,5535507.81522523,6088525.93891257,3287512.79714494,4575051.58994879,360610214002019
30008547.9834583,4101795.02432681,6846075.06287341,7950787.64848972,4506983.39182111,6602906.85594721,360610221022019
25960783.6091812,3011903.54665224,6860099.26102029,6938870.9802569,3817735.57753705,5332174.24371475,360610228002019
25543845.9924995,2648586.53538138,6735232.08317852,7283822.11912077,3839370.61230809,5036834.64251073,360610229002019
23549336.8550929,2587544.11252491,6241734.46629899,6513535.93743949,3484544.12484613,4721978.21398341,360610235022019
26345907.7753468,2829702.74915189,6651545.03238964,7512530.39456118,4016959.81843944,5335169.78080469,360610235012019
23558717.3997809,2388373.09598822,5900330.16677668,6723347.96807978,3594683.00547101,4951983.16346523,360610236002019
34232981.1049353,5453571.66861306,7627924.96542745,8497550.69304023,5007214.03413876,7646719.74371579,360610169002019
36318588.2689368,5805141.46432278,8044714.17042952,8881265.42232993,5334760.51794683,8252706.69390769,360610171002019
28936714.4001194,4074161.7967508,6478926.23748065,7494383.70288576,4330646.56687484,6558596.09612739,360610179002019
22959337.1701831,3065722.77638989,5537586.85007902,6544364.79920219,3389569.19628247,4422093.54822955,360610182002019
31326031.0095526,4614043.56312979,7355267.31711369,7865011.42255513,4593405.89366307,6898302.81309095,360610183002019
26189640.4609603,4158063.67064121,4972525.05750945,7169625.92512557,4005031.79116307,5884394.01652096,360610112012019
28053054.6164177,3838114.00208457,6080853.37220347,7639151.23717628,4279372.27888991,6215563.72606348,360610116002019
21755837.1706186,2515602.31762524,4608442.96865908,6434513.59756329,3460004.16308046,4737274.12369054,360610036012019
30766840.7158496,4410496.13512369,6383693.75357518,8294410.62403344,4756258.14387499,6921982.05924234,360610045002019
28863955.9311473,4716636.46902074,5863718.56779164,7367551.84762744,4308383.6051908,6607665.44151669,360610055022019
28697184.8538011,4732730.48043891,5133944.13151144,7574248.99958743,4428365.57611649,6827895.66614681,360610056002019
24796252.0595852,4042274.54397849,4430908.21827581,6990247.46220908,3862060.7090611,5470761.12606076,360610062002019
29776277.5145538,4816214.41926697,6707415.9813516,7367583.3069247,4293462.58763825,6591601.21937226,360610077002019
30746253.7776597,5095404.04730983,5915549.70441991,7602517.12632204,4614207.39672532,7518575.50288264,360610080002019
28333251.3515449,4541584.1828701,5627028.49920282,7192743.62690941,4241768.19848545,6730126.84407714,360610090002019
28316218.1471458,4911098.85958356,5836300.34256089,7000617.51483669,4127007.63668436,6441193.79348024,360610092002019
34869751.6400691,6229268.57379315,7809776.95144739,7720209.06215039,4884200.64114147,8226296.4115367,360610104002019
15306297.0287544,1834119.97825866,2563267.07387276,4648389.27946416,2518848.24588176,3741672.45127706,360610119002019
28168407.6265606,4002020.7511248,6058616.98648065,7628790.28100871,4288909.80624131,6190069.80170511,360610132002019
28698402.2595923,4486702.23705339,5987020.19125951,7258589.74284512,4265492.50463463,6700597.58379969,360610134002019
27543114.2180506,3877633.36211568,5991175.41746448,7295392.11141323,4154295.74021183,6224617.58684538,360610136002019
30154437.1015099,4573910.90544348,6565759.5781465,7637654.39789754,4463643.3317278,6913468.8882946,360610144022019
32585963.5786685,5096484.4836253,6926367.19693477,8118376.2086467,4863794.88756983,7580940.80189192,360610148012019
23596445.5874899,2118310.85198849,6405057.81769216,7041738.49930902,3569729.02888943,4461609.38961075,360610269002019
28127466.0140326,3599212.45049386,6603209.83270581,7575921.53171216,4223987.99732837,6125134.20179235,360610281002019
27446625.380899,4068430.09257726,6002405.65002781,7075727.50455671,4116296.05807274,6183766.07566445,360610089002019
27074007.8437732,4526699.69569918,5173870.1174617,7198616.49262096,4109209.95045172,6065611.58753964,360610099002019
18844763.1631061,1934715.25957321,3763394.98276222,5892932.79860493,3095236.47486135,4158483.64730434,360610006002019
20347746.011553,2508792.17309935,3887474.39715301,6410110.70843348,3300854.95055109,4240513.78231607,360610008002019
18899729.434916,1657060.51741241,4869036.09441876,5563703.50400265,2914013.42365231,3895915.89542986,360610024002019
18456749.3502061,1887159.7880534,3359678.19001606,6107015.94961658,3111220.29945799,3991675.12306203,360610025002019
20162573.8862422,2375621.05989348,3887641.98542594,6093994.67436114,3257467.94869814,4547848.21786348,360610029002019
33976415.5364317,6334250.55264931,6757633.68203368,8125682.61982499,4891460.13232533,7867388.54959842,360610054002019
34535203.4902933,5932606.63194253,7730122.77462807,8022351.70393799,4903529.32857808,7946593.05120666,360610071002019
28912587.6953525,4149766.49760054,6498877.73395473,7431113.36675112,4299780.90008354,6533049.19696262,360610079002019
35677635.1432212,9463593.08870847,6047433.78920351,7675735.14483147,4704758.15215519,7786114.96832255,360610094002019
31693422.6909577,5210126.06496153,6778217.05691026,7749874.30245961,4629042.17998251,7326163.08664384,360610108002019
32148889.0206827,5126944.2443756,7116987.75780631,8034920.75019533,4714128.13554648,7155908.13275903,360610110002019
28786622.3264649,4458795.98894762,6183386.06834824,7452850.73417084,4277639.68283147,6413949.85216674,360610124002019
26224078.7337624,4152947.59877573,4555082.64717726,7270168.89668839,4144874.26565236,6101005.32546867,360610115002019
28227045.3311607,5253063.8443433,5234021.96129208,7251166.09064493,4169279.8081443,6319513.62673613,360610117002019
39263177.5477913,6419691.03387109,8122172.33870547,8855787.24506667,5801970.74904352,10063556.1811046,360610130002019
24686554.7229851,3278351.35602415,5218807.13891871,7005772.54830195,3833341.79225457,5350281.88748575,360610135002019
31942646.9044553,4782588.20089495,7249407.75581836,7878803.1287323,4679236.62305282,7352611.19595684,360610144012019
28862627.5346718,4333382.04094668,6248958.9614628,7430205.13607617,4293551.80939051,6556529.58679564,360610146022019
32036100.6512079,4927188.99986144,6954475.92943699,8087911.89715189,4761753.67582756,7304770.14893005,360610148022019
25936005.9763887,4181699.93715847,5385769.40662934,6977573.55334842,3885394.01241401,5505569.0668384,360610158022019
35173990.9488412,5397194.23040304,8038033.0626311,8648424.3297987,5158541.91336519,7931797.41264318,360610160022019
31444889.0075127,6563410.9047469,5522577.39238804,7359178.92993432,4589549.03262902,7410172.74781445,360610096002019
25105942.2644051,3640020.36480884,5348332.1745782,6607959.91810182,3771831.68278912,5737798.12412709,360610100002019
23189330.3882989,4264336.47643881,3946564.95759919,5903187.04966929,3446864.05704283,5628377.8475488,360610102002019
34400091.2108976,5547199.27791577,7619183.2075039,8813972.87275776,5076978.0328518,7342757.81986836,360610106022019
35301472.3613835,6837383.31181208,6321923.77746645,8374399.34244235,5188820.42143714,8578945.50822549,360610114012019
43122268.3135191,6607214.58915992,9567177.339665,9698158.61218012,6342779.91585544,10906937.8566586,360610128002019
33417567.0064054,5636114.40898861,7007180.72015479,8190575.49491574,4893027.03452502,7690669.34782127,360610153002019
22926840.7278981,2409286.79340123,6067954.25803374,6384087.29839788,3409271.66156135,4656240.71650389,360610170002019
33887888.452334,6294017.81495852,5754358.47127605,8853465.84840516,5190982.41412577,7795063.90356853,360610317042019
23406560.2426217,3887282.24221528,4583425.35210981,6184779.94007709,3499586.01867861,5251486.68954095,360610125002019
36313884.287419,5364056.61303269,8308453.82442851,9301601.03283326,5393241.12693351,7946531.69019105,360610201012019
31222487.0341854,4794455.12244664,6662337.60677997,8165059.80738375,4699116.43030679,6901518.06726824,360610078002019
34883351.7110782,5951381.35179653,6936291.16603383,8443456.65671769,5115442.97706476,8436779.55946534,360610112022019
22056700.7852216,2219730.89427825,5159361.28446975,6455311.08788676,3467711.11075073,4754586.40783613,360610174012019
25444281.2500471,3034038.88879011,6797864.84359685,6729531.89158486,3682124.14709271,5200721.47898252,360610207012019
22466568.6909474,3020968.70033121,4653058.06998044,6219796.21467437,3471071.68964864,5101674.01631275,360610032002019
30525569.0710588,4895401.762623,6832215.70230579,7777482.19905022,4468232.37937796,6552237.02770183,360610146012019
35946106.8531898,6178356.17021517,7912589.12328661,8722688.42167319,5204677.82455971,7927795.31345511,360610165002019
25088453.9962971,2479201.61587202,6276369.83962927,7534566.88084549,3868207.40309666,4930108.25685369,360610279002019
31201062.7612914,5583738.90294684,5619520.4088799,8110816.52919181,4678655.22341078,7208331.6968621,360610112032019
21752353.0872637,2773888.34669755,5824230.38647962,5765476.33234991,3109226.18687159,4279531.83486508,360610184002019
22845046.2976745,2562299.91701138,4958641.4563741,6657149.47547333,3621858.06032868,5045097.38848704,360610002022019
32808314.1595652,5783467.58097591,6105000.13891128,8784880.43334657,4984205.28604895,7150760.72028248,360610015022019
22763150.3793339,3184505.04832475,4207930.64159105,6546279.39878212,3612799.84440509,5211635.44623091,360610022022019
25643525.180741,3481649.41923569,5032209.84195414,7160826.12452026,4042105.94229063,5926733.85274031,360610027002019
