BORO,ZIP CODE,count,coords,bbl
QUEENS,11434,1,-73.774776,40.686631,4123670234
BROOKLYN,11213,1,-73.941032,40.668863,3012720020
MANHATTAN,10009,1,-73.984244,40.7237,1003990011
BROOKLYN,11233,1,-73.913837,40.678134,3015500031
MANHATTAN,10010,1,-73.990417,40.744616,1008280009
BRONX,10456,1,-73.903414,40.829033,2026140043
QUEENS,11373,1,-73.881123,40.736909,4024750012
BROOKLYN,11212,1,-73.910505,40.658697,3036120024
BRONX,10458,1,-73.889201,40.856682,2030560051
MANHATTAN,10034,2,-73.91852,40.862198,1022010021
MANHATTAN,10013,1,-74.001614,40.717546,1001950021
MANHATTAN,10013,1,-74.001614,40.717546,1001950021
MANHATTAN,10029,2,-73.949227,40.795787,1016140066
BRONX,10459,1,-73.890278,40.830817,2029870010
QUEENS,11103,1,-73.913341,40.757377,4007240014
BROOKLYN,11216,2,-73.941105,40.682298,3018460047
BROOKLYN,11221,1,-73.9429,40.691324,3017860038
QUEENS,11368,1,-73.868977,40.757558,4014290038
BRONX,10451,1,-73.9211,40.825809,2024430094
BROOKLYN,11201,1,-73.987989,40.693844,3001407501
MANHATTAN,10013,1,-74.001235,40.715142,1001660027
QUEENS,11415,1,-73.825879,40.71324,4096530001
STATEN ISLAND,10301,1,-74.077166,40.642924,5000080070
QUEENS,11413,1,-73.75228,40.680234,4129560012
BROOKLYN,11218,1,-73.980571,40.635559,3053820001
BROOKLYN,11208,1,-73.880587,40.672635,3040360022
BROOKLYN,11233,1,-73.918501,40.669607,3014740019
BROOKLYN,11209,1,-74.026181,40.63236,3059180021
STATEN ISLAND,10304,1,-74.086229,40.631214,5005800034
QUEENS,11414,1,-73.833084,40.66134,4141700001
BROOKLYN,11223,2,-73.967474,40.593446,3071550040
QUEENS,11412,1,-73.763299,40.689841,4124490004
QUEENS,11428,1,-73.736434,40.722964,4107040030
BROOKLYN,11212,1,-73.905214,40.662007,3035930035
BROOKLYN,11236,1,-73.909135,40.638838,3080070012
BRONX,10458,1,-73.890668,40.866548,2032940047
BROOKLYN,11210,1,-73.957616,40.636443,3052200023
MANHATTAN,10002,1,-73.982422,40.719424,1003440056
BROOKLYN,11207,1,-73.900019,40.673992,3036830001
BROOKLYN,11217,1,-73.982847,40.678335,3004270046
BRONX,10458,2,-73.886668,40.865845,2032780084
BRONX,10459,1,-73.89534,40.829614,2029730016
BROOKLYN,11226,1,-73.950636,40.648322,3051110055
BROOKLYN,11203,1,-73.929869,40.643039,3047700027
QUEENS,11367,1,-73.814119,40.735113,4067920030
BRONX,10468,1,-73.900472,40.859425,2031720046
BROOKLYN,11208,1,-73.884547,40.680504,3039410001
BRONX,10474,1,-73.891427,40.814201,2027370130
MANHATTAN,10026,1,-73.951116,40.800671,1018230034
STATEN ISLAND,10304,3,-74.076895,40.629403,5005110003
QUEENS,11415,1,-73.825621,40.703975,4092710012
QUEENS,11429,1,-73.731973,40.718027,4107890114
MANHATTAN,10018,1,-73.994329,40.757219,1007370043
,,,,
BROOKLYN,11214,1,-74.000715,40.614009,3062470030
BRONX,10456,1,-73.916908,40.829041,2024470053
BROOKLYN,11236,1,-73.911838,40.649268,3081190047
STATEN ISLAND,10302,1,-74.132426,40.640587,5010680060
BRONX,10459,1,-73.899293,40.821502,2026900080
BROOKLYN,11217,2,-73.980333,40.686526,3001730023
QUEENS,11385,1,-73.899665,40.701029,4035080009
QUEENS,11418,1,-73.829137,40.69699,4093460047
QUEENS,11418,1,-73.829137,40.69699,4093460047
BROOKLYN,11208,1,-73.868134,40.669099,3044630039
MANHATTAN,10027,1,-73.962564,40.811979,1019910031
QUEENS,11434,2,-73.791668,40.677902,4120280053
QUEENS,11377,1,-73.921162,40.737008,4022940050
MANHATTAN,10027,1,-73.946577,40.811945,1019330032
MANHATTAN,10027,1,-73.946577,40.811945,1019330032
BROOKLYN,11223,1,-73.983426,40.588552,3071850072
BROOKLYN,11225,1,-73.948089,40.662295,3013300034
QUEENS,11412,1,-73.757132,40.705944,4109400102
BROOKLYN,11208,1,-73.879993,40.671457,3040530020
BROOKLYN,11223,1,-73.97453,40.60471,3066550034
BROOKLYN,11203,1,-73.93967,40.663381,3014267501
BROOKLYN,11216,1,-73.953456,40.670523,3012600027
BRONX,10466,2,-73.860429,40.886323,2048370036
BROOKLYN,11235,1,-73.967113,40.576102,3086800027
BROOKLYN,11235,1,-73.962338,40.579139,3086750078
BROOKLYN,11216,1,-73.947187,40.683366,3018330038
BROOKLYN,11239,1,-73.877987,40.647509,3044520200
STATEN ISLAND,10301,1,-74.078137,40.64254,5000080016
BROOKLYN,11203,1,-73.939739,40.652984,3048770005
BROOKLYN,11206,1,-73.946621,40.695093,3017550046
QUEENS,11691,1,-73.782704,40.592695,4158910021
BRONX,10473,1,-73.865045,40.82087,2035960001
QUEENS,11355,1,-73.818019,40.753843,4052030003
BROOKLYN,11217,1,-73.976617,40.679583,3009380026
QUEENS,11436,1,-73.801148,40.675614,4120290071
MANHATTAN,10025,1,-73.960123,40.799545,1018430041
BROOKLYN,11211,1,-73.961618,40.712409,3024180040
BRONX,10459,1,-73.899214,40.824661,2026910012
BRONX,10473,1,-73.861207,40.814804,2034960037
BRONX,10454,2,-73.916807,40.808486,2022670044
BROOKLYN,11213,1,-73.931139,40.663825,3014250001
BRONX,10460,1,-73.869432,40.837838,2039140022
BRONX,10456,1,-73.904373,40.829146,2026140001
BROOKLYN,11213,1,-73.934194,40.668263,3013950044
BROOKLYN,11217,1,-73.976096,40.678672,3009410030
